time,{tank}.tank1Instance.level,{tank}.tank1Instance.inPort,{tank}.tank1Instance.leak,{tank}.tank1Instance.der(level),{tank}.tank1Instance.outPort,{tank}.tank3Instance.level,{tank}.tank3Instance.inPort,{tank}.tank3Instance.leak,{tank}.tank3Instance.der(level),{tank}.tank3Instance.outPort,{tank}.tank2Instance.level,{tank}.tank2Instance.inPort,{tank}.tank2Instance.leak,{tank}.tank2Instance.der(level),{tank}.tank2Instance.outPort
10.0,1.0,0,0,0.0,1,0.0,0,0,0.0,0,0.0,1,0,1.0,0
10.5,1.0,0,0,0.0,1,0.0,0,0,0.0,0,10.5,1,0,1.0,10
11.0,1.0,0,0,0.0,1,5.0,10,0,10.0,5,11.0,1,0,1.0,11
11.5,1.0,0,0,0.0,1,10.5,11,0,11.0,10,11.5,1,0,1.0,11
12.0,1.0,0,0,0.0,1,16.0,11,0,11.0,16,12.0,1,0,1.0,12
12.5,1.0,0,0,0.0,1,22.0,12,0,12.0,22,12.5,1,0,1.0,12
13.0,1.0,0,0,0.0,1,28.0,12,0,12.0,28,13.0,1,0,1.0,13
13.5,1.0,0,0,0.0,1,34.5,13,0,13.0,34,13.5,1,0,1.0,13
14.0,1.0,0,0,0.0,1,41.0,13,0,13.0,41,14.0,1,0,1.0,14
14.5,1.0,0,0,0.0,1,48.0,14,0,14.0,48,14.5,1,0,1.0,14
15.0,1.0,0,0,0.0,1,55.0,14,5,14.0,55,15.0,1,0,1.0,15
15.5,1.0,0,0,0.0,1,62.5,15,12,15.0,62,15.5,1,0,1.0,15
16.0,1.0,0,0,0.0,1,70.0,15,20,15.0,70,16.0,1,0,1.0,16
16.5,1.0,0,0,0.0,1,78.0,16,28,16.0,78,16.5,1,0,1.0,16
17.0,1.0,0,0,0.0,1,86.0,16,36,16.0,86,17.0,1,0,1.0,17
17.5,1.0,0,0,0.0,1,94.5,17,44,17.0,94,17.5,1,0,1.0,17
18.0,1.0,0,0,0.0,1,103.0,17,53,17.0,103,18.0,1,0,1.0,18
18.5,1.0,0,0,0.0,1,112.0,18,62,18.0,112,18.5,1,0,1.0,18
19.0,1.0,0,0,0.0,1,121.0,18,71,18.0,121,19.0,1,0,1.0,19
19.5,1.0,0,0,0.0,1,130.5,19,80,19.0,130,19.5,1,0,1.0,19
20.0,1.0,0,0,0.0,1,140.0,19,90,19.0,140,20.0,1,0,1.0,20
20.5,1.0,0,0,0.0,1,150.0,20,100,20.0,150,20.5,1,0,1.0,20
21.0,1.0,0,0,0.0,1,160.0,20,110,20.0,160,21.0,1,0,1.0,21
21.5,1.0,0,0,0.0,1,170.5,21,120,21.0,170,21.5,1,0,1.0,21
22.0,1.0,0,0,0.0,1,181.0,21,131,21.0,181,22.0,1,0,1.0,22
22.5,1.0,0,0,0.0,1,192.0,22,142,22.0,192,22.5,1,0,1.0,22
23.0,1.0,0,0,0.0,1,203.0,22,153,22.0,203,23.0,1,0,1.0,23
23.5,1.0,0,0,0.0,1,214.5,23,164,23.0,214,23.5,1,0,1.0,23
24.0,1.0,0,0,0.0,1,226.0,23,176,23.0,226,24.0,1,0,1.0,24
24.5,1.0,0,0,0.0,1,238.0,24,188,24.0,238,24.5,1,0,1.0,24
25.0,1.0,0,0,0.0,1,250.0,24,200,24.0,250,25.0,1,0,1.0,25
25.5,1.0,0,0,0.0,1,262.5,25,212,25.0,262,25.5,1,0,1.0,25
26.0,1.0,0,0,0.0,1,275.0,25,225,25.0,275,26.0,1,0,1.0,26
26.5,1.0,0,0,0.0,1,288.0,26,238,26.0,288,26.5,1,0,1.0,26
27.0,1.0,0,0,0.0,1,301.0,26,251,26.0,301,27.0,1,0,1.0,27
27.5,1.0,0,0,0.0,1,314.5,27,264,27.0,314,27.5,1,0,1.0,27
