time,{tank}.tank1.level,{tank}.tank1.inPort,{tank}.tank1.leak,{tank}.tank1.der(level),{tank}.tank1.outPort,{tank}.tank2.level,{tank}.tank2.inPort,{tank}.tank2.leak,{tank}.tank2.der(level),{tank}.tank2.outPort,{tank}.tank3.level,{tank}.tank3.inPort,{tank}.tank3.leak,{tank}.tank3.der(level),{tank}.tank3.outPort
0.0,2.0,0,0,0.0,2,10.0,2,0,2.0,10,35.0,10,0,10.0,35
0.5,2.0,0,0,0.0,2,11.0,2,0,2.0,11,40.0,10,0,10.0,40
1.0,2.0,0,0,0.0,2,12.0,2,0,2.0,12,45.5,11,0,11.0,45
1.5,2.0,0,0,0.0,2,13.0,2,0,2.0,13,51.5,12,1,12.0,51
2.0,2.0,0,0,0.0,2,14.0,2,0,2.0,14,58.0,13,8,13.0,58
2.5,2.0,0,0,0.0,2,15.0,2,0,2.0,15,65.0,14,15,14.0,65
3.0,2.0,0,0,0.0,2,16.0,2,0,2.0,16,72.5,15,22,15.0,72
3.5,2.0,0,0,0.0,2,17.0,2,0,2.0,17,80.5,16,30,16.0,80
4.0,2.0,0,0,0.0,2,18.0,2,0,2.0,18,89.0,17,39,17.0,89
4.5,2.0,0,0,0.0,2,19.0,2,0,2.0,19,98.0,18,48,18.0,98
5.0,2.0,0,0,0.0,2,20.0,2,0,2.0,20,107.5,19,57,19.0,107
5.5,2.0,0,0,0.0,2,21.0,2,0,2.0,21,117.5,20,67,20.0,117
6.0,2.0,0,0,0.0,2,22.0,2,0,2.0,22,128.0,21,78,21.0,128
6.5,2.0,0,0,0.0,2,23.0,2,0,2.0,23,139.0,22,89,22.0,139
7.0,2.0,0,0,0.0,2,24.0,2,0,2.0,24,150.5,23,100,23.0,150
7.5,2.0,0,0,0.0,2,25.0,2,0,2.0,25,162.5,24,112,24.0,162
8.0,2.0,0,0,0.0,2,26.0,2,0,2.0,26,175.0,25,125,25.0,175
8.5,2.0,0,0,0.0,2,27.0,2,0,2.0,27,188.0,26,138,26.0,188
9.0,2.0,0,0,0.0,2,28.0,2,0,2.0,28,201.5,27,151,27.0,201
9.5,2.0,0,0,0.0,2,29.0,2,0,2.0,29,215.5,28,165,28.0,215
