time,{ur5e}.ur5e.actual_q0,{ur5e}.ur5e.actual_q1,{ur5e}.ur5e.actual_q2,{ur5e}.ur5e.actual_q3,{ur5e}.ur5e.actual_q4,{ur5e}.ur5e.actual_q5,{ur5e}.ur5e.actual_X,{ur5e}.ur5e.actual_Y,{ur5e}.ur5e.actual_Z,{ur5e}.ur5e.actual_x,{ur5e}.ur5e.actual_y,{ur5e}.ur5e.actual_z,{kuka}.kuka.actual_q0,{kuka}.kuka.actual_q1,{kuka}.kuka.actual_q2,{kuka}.kuka.actual_q3,{kuka}.kuka.actual_q4,{kuka}.kuka.actual_q5,{kuka}.kuka.actual_q6,{kuka}.kuka.actual_X,{kuka}.kuka.actual_Y,{kuka}.kuka.actual_Z,{kuka}.kuka.actual_x,{kuka}.kuka.actual_y,{kuka}.kuka.actual_z,{rabbitmq}.rabbitmq.target_X_ur5e,{rabbitmq}.rabbitmq.target_Y_ur5e,{rabbitmq}.rabbitmq.target_Z_ur5e,{rabbitmq}.rabbitmq.target_X_kuka,{rabbitmq}.rabbitmq.target_Y_kuka,{rabbitmq}.rabbitmq.target_Z_kuka,{rabbitmq}.rabbitmq.motion_time_ur5e,{rabbitmq}.rabbitmq.motion_time_kuka
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5,14,2,3,10,1,2.0,2.0
0.5,-0.25660446041203927,-0.1490870979275943,0.17249618089744595,-0.16393215866715,-0.06658926383503423,-0.12086658687528502,13,39,1,-0.851991747066221,0.07056884006187808,0.09461394289575098,0.040306811971802296,0.05300101122449614,0.023119885046569148,-0.1262817461334567,-0.01566218581233038,0.08765448767233903,0.06716281403153787,9,3,21,0.1347896777496167,0.007171423265089434,1.2883261966738102,5,14,2,3,10,1,2.0,2.0
1.0,-1.4491563164275734,-0.841959291404012,0.9741605025328663,-0.9257957668258899,-0.3760583589928687,-0.6825858659436753,0,28,-5,-0.3113017918771194,0.7186825848149793,-0.24939633259295357,0.2276299915839473,0.29931962238573667,0.13056798543764966,-0.7131676112135736,-0.08845113394582291,0.4950227843647931,0.3792974448946372,0,7,14,0.5887541472021672,0.18456715549015199,0.9453266395627782,5,14,2,3,10,1,2.0,2.0
1.5,-2.7085234716765765,-1.5736511493706191,1.8207398031393718,-1.73034443282714,-0.7028661301103102,-1.27577668356768,3,15,0,0.34128769453081254,0.5707009518631037,0.021459834983069477,0.4254483578297102,0.5594387669397125,0.24403609824452932,-1.332935027308366,-0.1653182404637046,0.9252147717038534,0.7089200941252787,1,10,3,0.5357760535184568,0.356247659427948,0.4069856449495397,5,14,2,3,10,1,2.0,2.0
2.0,-3.0446246738812945,-1.7689258252909656,2.0466757579636194,-1.9450632086409776,-0.7900849243313637,-1.4340880593322858,5,14,2,0.37799915363423364,0.4610006036143248,0.11999676646699269,0.47824232695639335,0.6288596318849855,0.2743185849421854,-1.498339193018552,-0.18583261294275344,1.0400248519261748,0.7968901259135208,3,10,1,0.44999999999751494,0.35499999999783644,0.2999999999994707,5,14,2,3,10,1,2.0,2.0
2.5,-3.0446246738812945,-1.7689258252909656,2.0466757579636194,-1.9450632086409776,-0.7900849243313637,-1.4340880593322858,5,14,2,0.37799915363423364,0.4610006036143248,0.11999676646699269,0.47824232695639335,0.6288596318849855,0.2743185849421854,-1.498339193018552,-0.18583261294275344,1.0400248519261748,0.7968901259135208,3,10,1,0.44999999999751494,0.35499999999783644,0.2999999999994707,5,14,2,3,10,1,2.0,2.0
3.0,-3.044624673881293,-1.768925825290969,2.046675757963615,-1.9450632086409783,-0.7900849243313638,-1.4340880593322853,5,14,2,0.3779991536342332,0.46100060361432754,0.11999676646699482,0.4782423269563925,0.6288596318849853,0.27431858494218514,-1.4983391930185517,-0.18583261294275347,1.0400248519261746,0.7968901259135205,3,10,1,0.4499999999975155,0.354999999997836,0.299999999999471,5,14,2,3,10,1,2.0,2.0
3.5,-3.044624673881293,-1.768925825290969,2.046675757963615,-1.9450632086409783,-0.7900849243313638,-1.4340880593322853,5,14,2,0.3779991536342332,0.46100060361432754,0.11999676646699482,0.4782423269563925,0.6288596318849853,0.27431858494218514,-1.4983391930185517,-0.18583261294275347,1.0400248519261746,0.7968901259135205,3,10,1,0.4499999999975155,0.354999999997836,0.299999999999471,5,14,2,3,10,1,2.0,2.0
4.0,-3.044624673881293,-1.768925825290969,2.046675757963615,-1.9450632086409783,-0.7900849243313638,-1.4340880593322853,5,14,2,0.3779991536342332,0.46100060361432754,0.11999676646699482,0.4782423269563925,0.6288596318849853,0.27431858494218514,-1.4983391930185517,-0.18583261294275347,1.0400248519261746,0.7968901259135205,3,10,1,0.4499999999975155,0.354999999997836,0.299999999999471,5,14,2,3,10,1,2.0,2.0
4.5,-3.044624673881293,-1.768925825290969,2.046675757963615,-1.9450632086409783,-0.7900849243313638,-1.4340880593322853,5,14,2,0.3779991536342332,0.46100060361432754,0.11999676646699482,0.4782423269563925,0.6288596318849853,0.27431858494218514,-1.4983391930185517,-0.18583261294275347,1.0400248519261746,0.7968901259135205,3,10,1,0.4499999999975155,0.354999999997836,0.299999999999471,5,14,2,3,10,1,2.0,2.0
5.0,-3.044624673881293,-1.768925825290969,2.046675757963615,-1.9450632086409783,-0.7900849243313638,-1.4340880593322853,5,14,2,0.3779991536342332,0.46100060361432754,0.11999676646699482,0.4782423269563925,0.6288596318849853,0.27431858494218514,-1.4983391930185517,-0.18583261294275347,1.0400248519261746,0.7968901259135205,3,10,1,0.4499999999975155,0.354999999997836,0.299999999999471,5,14,2,3,10,1,2.0,2.0
5.5,-3.044624673881293,-1.768925825290969,2.046675757963615,-1.9450632086409783,-0.7900849243313638,-1.4340880593322853,5,14,2,0.3779991536342332,0.46100060361432754,0.11999676646699482,0.4782423269563925,0.6288596318849853,0.27431858494218514,-1.4983391930185517,-0.18583261294275347,1.0400248519261746,0.7968901259135205,3,10,1,0.4499999999975155,0.354999999997836,0.299999999999471,4,18,1,4,7,2,2.0,2.0
6.0,-2.6666767908187103,-2.0663803470272546,2.3151734809886646,-2.248468141259414,-0.8907205205330372,-0.9420860883757514,4,18,1,0.17799933176607222,0.5110013431226249,0.06999738342262661,0.2856171169257387,0.28722249650976717,0.22033721527927447,-1.8517725799069014,-0.07316173653865968,1.010385283448618,0.5361383220480521,4,7,2,0.3999999999791521,0.204999999980061,0.3499999999962503,4,18,1,4,7,2,2.0,2.0
6.5,-2.6666767908187103,-2.0663803470272546,2.315173480988664,-2.248468141259414,-0.8907205205330373,-0.9420860883757513,4,18,1,0.17799933176607227,0.5110013431226251,0.06999738342262686,0.28561711692573893,0.28722249650976683,0.22033721527927447,-1.8517725799069016,-0.07316173653866,1.010385283448618,0.5361383220480521,4,7,2,0.3999999999791521,0.204999999980061,0.3499999999962504,4,18,1,4,7,2,2.0,2.0
7.0,-2.6666767908187103,-2.0663803470272546,2.315173480988664,-2.248468141259414,-0.8907205205330373,-0.9420860883757513,4,18,1,0.17799933176607227,0.5110013431226251,0.06999738342262686,0.28561711692573893,0.28722249650976683,0.22033721527927447,-1.8517725799069016,-0.07316173653866,1.010385283448618,0.5361383220480521,4,7,2,0.3999999999791521,0.204999999980061,0.3499999999962504,4,18,1,4,7,2,2.0,2.0
7.5,-2.6666767908187103,-2.0663803470272546,2.315173480988664,-2.248468141259414,-0.8907205205330373,-0.9420860883757513,4,18,1,0.17799933176607227,0.5110013431226251,0.06999738342262686,0.28561711692573893,0.28722249650976683,0.22033721527927447,-1.8517725799069016,-0.07316173653866,1.010385283448618,0.5361383220480521,4,7,2,0.3999999999791521,0.204999999980061,0.3499999999962504,4,18,1,4,7,2,2.0,2.0
8.0,-2.6666767908187103,-2.0663803470272546,2.315173480988664,-2.248468141259414,-0.8907205205330373,-0.9420860883757513,4,18,1,0.17799933176607227,0.5110013431226251,0.06999738342262686,0.28561711692573893,0.28722249650976683,0.22033721527927447,-1.8517725799069016,-0.07316173653866,1.010385283448618,0.5361383220480521,4,7,2,0.3999999999791521,0.204999999980061,0.3499999999962504,4,18,1,4,7,2,2.0,2.0
8.5,-2.6666767908187103,-2.0663803470272546,2.315173480988664,-2.248468141259414,-0.8907205205330373,-0.9420860883757513,4,18,1,0.17799933176607227,0.5110013431226251,0.06999738342262686,0.28561711692573893,0.28722249650976683,0.22033721527927447,-1.8517725799069016,-0.07316173653866,1.010385283448618,0.5361383220480521,4,7,2,0.3999999999791521,0.204999999980061,0.3499999999962504,4,18,1,4,7,2,2.0,2.0
9.0,-2.6666767908187103,-2.0663803470272546,2.315173480988664,-2.248468141259414,-0.8907205205330373,-0.9420860883757513,4,18,1,0.17799933176607227,0.5110013431226251,0.06999738342262686,0.28561711692573893,0.28722249650976683,0.22033721527927447,-1.8517725799069016,-0.07316173653866,1.010385283448618,0.5361383220480521,4,7,2,0.3999999999791521,0.204999999980061,0.3499999999962504,4,18,1,4,7,2,2.0,2.0
9.5,-2.6666767908187103,-2.0663803470272546,2.315173480988664,-2.248468141259414,-0.8907205205330373,-0.9420860883757513,4,18,1,0.17799933176607227,0.5110013431226251,0.06999738342262686,0.28561711692573893,0.28722249650976683,0.22033721527927447,-1.8517725799069016,-0.07316173653866,1.010385283448618,0.5361383220480521,4,7,2,0.3999999999791521,0.204999999980061,0.3499999999962504,4,18,1,4,7,2,2.0,2.0
