time,{ur5e}.ur5e.actual_q0,{ur5e}.ur5e.actual_q1,{ur5e}.ur5e.actual_q2,{ur5e}.ur5e.actual_q3,{ur5e}.ur5e.actual_q4,{ur5e}.ur5e.actual_q5,{ur5e}.ur5e.actual_X,{ur5e}.ur5e.actual_Y,{ur5e}.ur5e.actual_Z,{ur5e}.ur5e.actual_x,{ur5e}.ur5e.actual_y,{ur5e}.ur5e.actual_z,{kuka}.kuka.actual_q0,{kuka}.kuka.actual_q1,{kuka}.kuka.actual_q2,{kuka}.kuka.actual_q3,{kuka}.kuka.actual_q4,{kuka}.kuka.actual_q5,{kuka}.kuka.actual_q6,{kuka}.kuka.actual_X,{kuka}.kuka.actual_Y,{kuka}.kuka.actual_Z,{kuka}.kuka.actual_x,{kuka}.kuka.actual_y,{kuka}.kuka.actual_z,{rabbitmq}.rabbitmq.target_X_ur5e,{rabbitmq}.rabbitmq.target_Y_ur5e,{rabbitmq}.rabbitmq.target_Z_ur5e,{rabbitmq}.rabbitmq.target_X_kuka,{rabbitmq}.rabbitmq.target_Y_kuka,{rabbitmq}.rabbitmq.target_Z_kuka,{rabbitmq}.rabbitmq.motion_time_ur5e,{rabbitmq}.rabbitmq.motion_time_kuka
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6,16,1,8,11,2,2.0,2.0
0.5,-0.2538422215562177,-0.16488869628549946,0.19996133946204067,-0.17830525699709246,-0.06689969316433803,-0.11700981763688419,13,39,2,-0.8510270194389113,0.07020687945333834,0.0979126265607623,0.050850639710407194,0.028339123454396337,0.05126327324111287,-0.15552177032776024,-0.01871047567183824,0.08664418749945874,0.10964170699732471,9,3,21,0.12695253168216603,0.011360210506639516,1.288246663744004,6,16,1,8,11,2,2.0,2.0
1.0,-1.4335567595104106,-0.9311977482618551,1.1292681259609894,-1.0069668664943254,-0.37781148761207756,-0.6608050227975445,0,28,-5,-0.3174628281181346,0.6919352643397071,-0.2239571776497941,0.287175544853709,0.16004328097031176,0.28950586478046225,-0.8782986681158177,-0.10566614453883705,0.4893171825421809,0.619194116828453,2,8,14,0.49407251185607104,0.27644276617488844,0.9479770585991757,6,16,1,8,11,2,2.0,2.0
1.5,-2.6793673581649227,-1.7404409236935925,2.1106413368308465,-1.8820560364557497,-0.706142788370132,-1.2350675314731487,4,16,0,0.2554745461878272,0.5161792527666037,0.0058191797673981015,0.5367410643768564,0.2991264490091901,0.5410965132311845,-1.6415707061874163,-0.19749369298582048,0.9145508037927293,1.1572953034412912,6,12,4,0.29737445507151633,0.44454826947706094,0.44224639847550073,6,16,1,8,11,2,2.0,2.0
2.0,-3.0118505725968348,-1.9564125750146033,2.372551229120873,-2.115600734548348,-0.7937681837492914,-1.3883273006695305,6,16,1,0.2780003903519177,0.4110028298242772,0.06999385053260346,0.6033453670148674,0.3362451080034887,0.6082412843611191,-1.8452735330682621,-0.22200072360028855,1.0280375901714933,1.3009043017977717,8,11,2,0.19999999999948717,0.40499999999423525,0.35000000000091547,6,16,1,8,11,2,2.0,2.0
2.5,-3.0118505725968348,-1.9564125750146033,2.372551229120873,-2.115600734548348,-0.7937681837492914,-1.3883273006695305,6,16,1,0.2780003903519177,0.4110028298242772,0.06999385053260346,0.6033453670148674,0.3362451080034887,0.6082412843611191,-1.8452735330682621,-0.22200072360028855,1.0280375901714933,1.3009043017977717,8,11,2,0.19999999999948717,0.40499999999423525,0.35000000000091547,6,16,1,8,11,2,2.0,2.0
3.0,-3.011850572596835,-1.9564125750146026,2.372551229120873,-2.115600734548348,-0.793768183749291,-1.3883273006695316,6,16,1,0.27800039035191787,0.411002829824277,0.06999385053260332,0.6033453670148666,0.336245108003489,0.6082412843611198,-1.845273533068261,-0.22200072360028877,1.0280375901714933,1.3009043017977724,8,11,2,0.1999999999994875,0.4049999999942356,0.3500000000009158,6,16,1,8,11,2,2.0,2.0
3.5,-3.011850572596835,-1.9564125750146026,2.372551229120873,-2.115600734548348,-0.793768183749291,-1.3883273006695316,6,16,1,0.27800039035191787,0.411002829824277,0.06999385053260332,0.6033453670148666,0.336245108003489,0.6082412843611198,-1.845273533068261,-0.22200072360028877,1.0280375901714933,1.3009043017977724,8,11,2,0.1999999999994875,0.4049999999942356,0.3500000000009158,6,16,1,8,11,2,2.0,2.0
4.0,-3.011850572596835,-1.9564125750146026,2.372551229120873,-2.115600734548348,-0.793768183749291,-1.3883273006695316,6,16,1,0.27800039035191787,0.411002829824277,0.06999385053260332,0.6033453670148666,0.336245108003489,0.6082412843611198,-1.845273533068261,-0.22200072360028877,1.0280375901714933,1.3009043017977724,8,11,2,0.1999999999994875,0.4049999999942356,0.3500000000009158,6,16,1,8,11,2,2.0,2.0
4.5,-3.011850572596835,-1.9564125750146026,2.372551229120873,-2.115600734548348,-0.793768183749291,-1.3883273006695316,6,16,1,0.27800039035191787,0.411002829824277,0.06999385053260332,0.6033453670148666,0.336245108003489,0.6082412843611198,-1.845273533068261,-0.22200072360028877,1.0280375901714933,1.3009043017977724,8,11,2,0.1999999999994875,0.4049999999942356,0.3500000000009158,6,16,1,8,11,2,2.0,2.0
